Código;Ficha;Dependência;Nomenclatura;Conta-contábil;QNT SISCOFIS;Valor Un;Tipo;Prateleira;Obs
28;1678;;CALÇÃO DE TFM (2ª CLASSE);;0;;FARDAMENTO;70;
29;1313;;REGATA BRANCA (1ª CLASSE);;;;FARDAMENTO;0;"Regata Branca NOVA em estoque:

tam P: 62
tam M: 14


Regata branca de TFM à chegar:

tam PP: 5
tam P: 75
tam M: 122
tam G: 28
tam GG: 5"
30;1789;;REGATA BRANCA (2ª CLASSE);;517;;FARDAMENTO;63;
31;1683;;CEROULA (2ª CLASSE);;146;;FARDAMENTO;87;
32;20/23;;MEIAS VO (PAR);;789;;FARDAMENTO;124;"Meias Verde-Oliva NOVAS em estoque: 124 pares

Meias Verde-Oliva à chegar: 321 pares"
35;;;ISOLANTE TERMICO;;;;EQUIPAMENTO;54;
36;1527;;PORTA CANTIL;;295;;EQUIPAMENTO;51;"151 para DESCARGA - TERMO DE EXAME E AVERIGUAÇÃO DE MATERIAL 02 - 2020 - 1. NOMEAÇÃO DE COMISSÃO: Boletim Interno Nr 106, de 04 de junho de 2020. 

123 unidades do 15,88 reais
42 unidades 11,51 reais
03 unidades 11,51 reais"
37;1734;;TOALHA DE BANHO;;118;;MATERIAL;06;"Toalha de Banho à chegar: 99 unidades

Toalha de Rosto à chegar: 8 unidades"
39;1528;;SACO DE DORMIR;;150;;EQUIPAMENTO;91;
40;;;T-10;;8;;EQUIPAMENTO;14;
41;1531;;PORTA CARREGADOR DE FAL;;385;;EQUIPAMENTO;118;"215 PARA DESCARGA
TERMO DE EXAME E AVERIGUAÇÃO DE MATERIAL 02 - 2020
1. NOMEAÇÃO DE COMISSÃO: Boletim Interno Nr 106, de 04 de junho de 2020.
205 unidades a 9,46 reais
10 unidades a 5,80"
42;1056, 10789, 13354, 1425;;SEGUNDA PELE;;283;;FARDAMENTO;129;"Conjunto segunda pele novo à chegar:
Aguardando completamento
tam P: 36
Aguardando completamento
tam M: 90
Recebido
tam G: 27
tam GG: 27"
43;001/28;;PONCHO DE NYLON;;118;;EQUIPAMENTO;12;
44;1948 (23+23+75);;MANTA LEVE;;121;;MATERIAL;60;"24 ESTÃO PARA DESCARGA - NOMEAÇÃO DE COMISSÃO: Boletim Interno Nr 106, de 04 de junho de 2020. 
10 unidades de 50 reais
14 unidades de 48,51 reais"
46;;;COLCHA AZUL;;;;MATERIAL;16;Colcha azul - Hospital à chegar: 2 unidades
47;09/20;;COLCHA BRANCA;;256;;MATERIAL;80;Colcha branca à chegar: 47 unidades
48;11/20;;LENÇOL BRANCO;;167;;MATERIAL;50;"Lençol branco NOVO em estoque: 14


Lençol Branco à chegar: 47 unidades"
